customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),29.85,29.85,Yes
5575-GNVDE,Male,0,Yes,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),56.95,1889.5,No
3668-QPYBK,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.85,108.15,Yes
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Maestro,42.30,1840.75,No
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.70,151.65,Yes
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,99.65,820.5,Yes
1452-KIOVK,Male,0,No,No,22,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),89.10,1949.4,No
6713-OKOMC,Female,0,Yes,No,10,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,29.75,301.9,No
7892-POQOV,Male,0,No,No,28,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),49.95,1394.6,No
6389-XPTZA,Female,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),24.35,1488.2,No
1122-AAAAA,Male,1,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.50,380.25,Yes
2233-BBBBB,Female,0,Yes,No,3,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.85,59.55,Yes
3344-CCCCC,Female,0,No,No,12,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),39.45,473.4,No
4455-DDDDD,Male,0,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),89.10,2673.0,No
5566-EEEEE,Female,0,Yes,Yes,6,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.05,144.3,Yes
6677-FFFFF,Male,1,No,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),105.20,5090.0,No
7788-GGGGG,Female,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),49.95,899.1,No
8899-HHHHH,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.30,803.7,Yes
9900-IIIII,Female,0,No,No,14,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Maestro,29.65,414.1,No
1010-JJJJJ,Male,0,No,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),105.75,6330.0,No
1212-KKKKK,Female,0,Yes,Yes,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.50,78.0,Yes
1313-LLLLL,Male,0,No,No,20,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),55.65,1113.0,No
1414-MMMMM,Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,95.00,190.0,Yes
1515-NNNNN,Male,0,No,No,36,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),39.65,1427.4,No
1616-OOOOO,Female,0,Yes,No,11,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),75.80,833.8,No
1717-PPPPP,Male,0,No,No,7,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.95,349.65,Yes
1818-QQQQQ,Female,0,No,No,16,No,No phone service,DSL,Yes,Yes,No,No,No,No,One year,No,Maestro,29.40,470.4,No
1919-RRRRR,Male,0,Yes,Yes,26,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),99.15,2577.9,No
2020-SSSSS,Female,0,No,No,21,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.20,613.2,Yes